query,dynFromId,meta,left,keyword,right
瞑,26,Republican era-晚晴簃詩匯-卷九十二,掩袂哀誰偯，褰裳恨未,瞑,荓蜂身惝恍，離黍弟伶
瞑,26,Republican era-晚晴簃詩匯-卷一百五,昏。夜分應恨猿吟苦，,瞑,湘南煙水村。  *龍
瞑,26,Republican era-晚晴簃詩匯-卷一百九,子燕息帷自下，先生坐,瞑,不藝。瞥眼長空生白毫
瞑,26,Republican era-晚晴簃詩匯-卷一百十,江口插。願汝學希夷，,瞑,蟄龍法。醉鄉不可沽，
瞑,26,Republican era-晚晴簃詩匯-卷一百二十六,聲施。聲施豈不廣，一,瞑,所知。  海水趨尾洩
瞑,26,Republican era-晚晴簃詩匯-卷一百三十五,吹短簷。忍飢瞪立不可,瞑,龍氣僨動拳毛顛。每聞
瞑,26,Republican era-晚晴簃詩匯-卷一百三十五,咽燥髖髀死。倚壁有時,瞑,槁植若束葦。乍起奮禿
瞑,26,Republican era-晚晴簃詩匯-卷一百三十八,及其子孫。公等九京當,瞑,，人生一夢如浮雲。嗟
瞑,26,Republican era-晚晴簃詩匯-卷一百三十九,。荒山兵後難求醫。一,瞑,複瞻庭闈。軍興以來歲
瞑,26,Republican era-晚晴簃詩匯-卷一百四十四,，吞舟漏蜿蜒。亦有一,瞑,，不惜萬事傎。何況首
瞑,26,Republican era-晚晴簃詩匯-卷一百五十八,陽欲下寒鴉鳴。荒村煙,瞑,䘃舞，牧豎倒跨牛背行
瞑,26,Republican era-晚晴簃詩匯-卷一百六十二,慮當勞破吳後，雄心不,瞑,河時。安攘未竟公遺憾
瞑,26,Republican era-晚晴簃詩匯-卷一百六十七,餘顫。值此楝花開，目,瞑,若倦。人去楝猶花，忽
瞑,26,Republican era-晚晴簃詩匯-卷一百七十四,。桑孔術亦工，何由救,瞑,。節流豈無策，睫遠誰
瞑,26,Republican era-晚晴簃詩匯-卷一百七十六,無隙晷。遽遭病魔侮，,瞑,不可止。引疾幸得請，
瞑,26,Republican era-晚晴簃詩匯-卷一百七十六,度，四野寒螿鳴。掩篷,瞑,坐，身仄心轉平。須臾
瞑,26,Republican era-晚晴簃詩匯-卷一百八十四,抱疾忽焉死。尸床目不,瞑,不繼非人子。尚有娥親
瞑,26,Republican era-晚晴簃詩匯-卷一百八十六,有女當窗織。廢我一宵,瞑,看絲乍盈尺。廢我兩宵
瞑,26,Republican era-晚晴簃詩匯-卷一百八十六,看絲乍盈尺。廢我兩宵,瞑,看絲不成匹。豈不畏龜
矉,26,Republican era-晚晴簃詩匯-卷一百八十二,鄲步拙那移情，嫫鹽效,矉,取惱。巡簷把卷闔且開
矉,26,Republican era-晚晴簃詩匯-卷一百八十二,何心食肉麋。西齲東亦,矉,何處乞鄰醯。任炫夷威
矉,26,Republican era-晚晴簃詩匯-卷一百八十二,如聞跛守駿，妍貌不妨,矉,  *哭林晚翠  相
眩,26,Republican era-晚晴簃詩匯-卷六,風雨生瑤池。詎嫌心目,眩,祇覺精神移。軒翥亦已
眩,26,Republican era-晚晴簃詩匯-卷七,。危樓足下生動搖，目,眩,忽飛洪濤。雲譎波詭浩
眩,26,Republican era-晚晴簃詩匯-卷十八,》。自矜琵琶與琴應，,眩,駭耳非淫哇。一一暉音
眩,26,Republican era-晚晴簃詩匯-卷十八,武功雖尺五，仰視目不,眩,圓吭裂層霄，丹頂甚平
眩,26,Republican era-晚晴簃詩匯-卷十九,東皋草欲芊。經過光景,眩,識路夢魂顛。太息看梁
眩,26,Republican era-晚晴簃詩匯-卷二十一,丘壑滿胸中，浮雲豈能,眩,  *姬相周  姬公
眩,26,Republican era-晚晴簃詩匯-卷二十四,類蜥蜴。乘風張素帆，,眩,失青壁。蒙茸岩際花，
眩,26,Republican era-晚晴簃詩匯-卷二十四,如海泛溟涬，蜃氣樓台,眩,景。蕓蕓朝暮轟喧豗，
眩,26,Republican era-晚晴簃詩匯-卷二十六,紙之際，臂酸索重，頭,眩,搖，因是數作數止，半
眩,26,Republican era-晚晴簃詩匯-卷二十九,三日招我魂，足踔目猶,眩,豈知東蒼州，耳目益奇
眩,26,Republican era-晚晴簃詩匯-卷三十三,滋。別類或刺手，花發,眩,姿。浮華惜無實，訛似
眩,26,Republican era-晚晴簃詩匯-卷三十六,修綆垂毫芒。仰睇愁瞑,眩,況乃窮八荒。昔夢逐化
眩,26,Republican era-晚晴簃詩匯-卷四十三,瘴雲落日昏，耳目驟驚,眩,但見逋逃人，男女相蹂
眩,26,Republican era-晚晴簃詩匯-卷四十三,日生扶桑。韓愈當年驚,眩,，昔為絕險今康莊。誰
眩,26,Republican era-晚晴簃詩匯-卷四十四,皋，流目肆遐觀。丹葩,眩,谷，素雲冒層巒。我行
眩,26,Republican era-晚晴簃詩匯-卷四十六,縱橫百里內，仰視目為,眩,其故不可測，揮手付夢
眩,26,Republican era-晚晴簃詩匯-卷四十七,莫測天地機，但覺心目,眩,倍看城市親，遙被舟楫
眩,26,Republican era-晚晴簃詩匯-卷四十七,得暫見，兩手摩挲眼光,眩,歸來倒盡老瓦盆，一醉
眩,26,Republican era-晚晴簃詩匯-卷四十八,雖有賁育儔，下覷雜花,眩,師徒住此峰，往來百千
眩,26,Republican era-晚晴簃詩匯-卷五十,代足，手捫那容杖。目,眩,回頭，坐稱時一放。精
眩,26,Republican era-晚晴簃詩匯-卷五十,鬼，撩衣銛利千鋒鏦。,眩,已入諸葛壘，緣身若舞
眩,26,Republican era-晚晴簃詩匯-卷五十一,。縹緲空騰數百步，目,眩,敢低頭窺。發源西極昆
眩,26,Republican era-晚晴簃詩匯-卷五十五,井逼塞航斷港，銀海掉,眩,狂花。此曹正坐讀書誤
眩,26,Republican era-晚晴簃詩匯-卷五十六,一葉忽浮鳧拍張。目精,眩,毛灑淅，我生江鄉懵未
眩,26,Republican era-晚晴簃詩匯-卷五十九,真聖明，燭照萬里誰能,眩,況乃宵旰憂黎元，守令
眩,26,Republican era-晚晴簃詩匯-卷五十九,庵  神龍掉尾歸，震,眩,用壯。幸哉救苦台，觀
眩,26,Republican era-晚晴簃詩匯-卷六十二,舵樓一唱疑天雞。阿班,眩,痿筋力，出海環珓頻難
眩,26,Republican era-晚晴簃詩匯-卷六十三,晴霞，異光互回繞。目,眩,高峰，冥蒙林壑杳。舉
眩,26,Republican era-晚晴簃詩匯-卷六十三,節，輕捻急擊隨狂謳。,眩,駭耳暢絡繹，浮音靡靡
眩,26,Republican era-晚晴簃詩匯-卷六十六,窈窕乘險絕。路歧情屢,眩,徑錯興逾發。修竹翳層
眩,26,Republican era-晚晴簃詩匯-卷六十六,芙蓉插空青，應接耳目,眩,雲竇窈以深，幽花爛且
眩,26,Republican era-晚晴簃詩匯-卷六十七,恐後，履險卻趨安。目,眩,飆疾，心懷奪錦難。長
眩,26,Republican era-晚晴簃詩匯-卷六十八,金山勝玉，玉壘金山光,眩,。山中海複海中山，雲
眩,26,Republican era-晚晴簃詩匯-卷八十一,百奔洪相漰湱。耳駴目,眩,接忙，盡若排簾或裂帛
眩,26,Republican era-晚晴簃詩匯-卷八十二,院畫錄，墨池半晌雲濤,眩,漫認蕉林小印章，試摸
眩,26,Republican era-晚晴簃詩匯-卷八十二,捫星辰不敢逼，庚庚眼,眩,衡魁。隔溪嘯答響山籟
眩,26,Republican era-晚晴簃詩匯-卷八十二,癡凍蠅。爾日來觀目為,眩,亦擬草勢心兢兢。折釵
眩,26,Republican era-晚晴簃詩匯-卷八十三,迢迢。振步攀其巔，目,眩,為搖。一嶺植如蓋，眾
眩,26,Republican era-晚晴簃詩匯-卷八十四,青獅白象雲相羊。前朝,眩,感佛國，群僧雜出雄蠻
眩,26,Republican era-晚晴簃詩匯-卷八十五,為作是詩  老眼揩摩,眩,碧，濕翠浮嵐生幾席。
眩,26,Republican era-晚晴簃詩匯-卷八十八,銛。螺房寄詰屈，蜃窗,眩,瞻。江流細如線，鍾阜
眩,26,Republican era-晚晴簃詩匯-卷八十九,一敗遭系縲，霜刃目不,眩,留京故嵽嵲，往事誰塗
眩,26,Republican era-晚晴簃詩匯-卷八十九,石  出險複入險，目,眩,長搖。滄江忽一束，巨
眩,26,Republican era-晚晴簃詩匯-卷九十一,鬱如海。扶桑升圜日，,眩,生五採。宛虹首幽恆，
