['管仲', [-725, -645]]
['海瑞', [1514, 1587]]
['楊繼盛', [1516, 1555]]
['陳士元', [1516, 1597]]
['李時珍', [1518, 1593]]
['梁辰魚', [1519, 1591]]
['徐渭', [1521, 1593]]
['方有執', [1523, 1593]]
['萬民英', [1523]]
['吳國倫', [1524, 1593]]
['項元汴', [1525, 1590]]
['王世貞', [1526, 1590]]
['李贄', [1527, 1602]]
['章潢', [1527, 1608]]
['戚繼光', [1528, 1588]]
['凌迪知', [1529, 1601]]
['王圻', [1530, 1615]]
['沈鯉', [1531, 1615]]
['朱載堉', [1536, 1611]]
['吕坤', [1536, 1618]]
['張位', [1538, 1605]]
['焦竑', [1540, 1620]]
['陳第', [1541, 1617]]
['孫旬', [1541]]
['孫鑛', [1543, 1613]]
['郭子章', [1543, 1618]]
['屠隆', [1543, 1605]]
['周汝登', [1547, 1629]]
['梅鼎祚', [1549, 1615]]
['孫穀', [1550, 1650]]
['汪應蛟', [1550, 1628]]
['胡應麟', [1551, 1602]]
['鄒元標', [1551, 1624]]
['彭大翼', [1552, 1643]]
['江盈科', [1553, 1605]]
['郭正域', [1554, 1612]]
['顧允成', [1554, 1607]]
['岳元聲', [1557, 1628]]
['曹于汴', [1558, 1634]]
['陳繼儒', [1558, 1639]]
['郝敬', [1558, 1639]]
['趙邦柱', [1558, 1610]]
['葉向高', [1559, 1627]]
['袁宗道', [1560, 1600]]
['徐光啟', [1562, 1633]]
['安希范', [1564, 1621]]
['李日華', [1565, 1635]]
['陳于廷', [1566, 1635]]
['陳邦瞻', [1567, 1623]]
['袁宏道', [1568, 1610]]
['熊廷弼', [1569, 1625]]
['葛寅亮', [1570, 1646]]
['李之藻', [1571, 1630]]
['鍾惺', [1574, 1625]]
['張燮', [1574, 1640]]
['馮夢龍', [1574, 1646]]
['左光斗', [1575, 1625]]
['王志堅', [1576, 1633]]
['凌濛初', [1580, 1644]]
['艾儒略', [1582, 1649]]
['計成', [1582, 1642]]
['錢謙益', [1582, 1664]]
['周宗建', [1582, 1626]]
['顧夢麟', [1585, 1653]]
['孫奇逢', [1585, 1675]]
['黃道周', [1585, 1646]]
['黄道周', [1585, 1646]]
['喻昌', [1585, 1664]]
['董斯張', [1586, 1628]]
['阮大鋮', [1587, 1646]]
['宋應星', [1587, 1666]]
['徐宏祖', [1587, 1641]]
['李中梓', [1588, 1655]]
['陳良謨', [1589, 1644]]
['甯完我', [1593, 1665]]
['何楷', [1594, 1645]]
['談遷', [1594, 1658]]
['夏允彝', [1596, 1645]]
['毛晋', [1599, 1659]]
['查繼佐', [1601, 1676]]
['馮班', [1602, 1671]]
['李世熊', [1602, 1686]]
['史可法', [1602, 1645]]
['黎遂球', [1602, 1646]]
['張溥', [1602, 1641]]
['刁包', [1603, 1669]]
['黄淳耀', [1605, 1645]]
['賈漢復', [1605, 1677]]
['朱鶴齡', [1606, 1683]]
['張應昌', [1608]]
['陳子龍', [1608, 1647]]
['金人瑞', [1608, 1661]]
['金聖歎', [1608, 1661]]
['吳偉業', [1609, 1672]]
['傅以漸', [1609, 1665]]
['文秉', [1609, 1669]]
['黃宗羲', [1610, 1695]]
['吳喬', [1610, 1694]]
['吳殳', [1610, 1694]]
['方以智', [1611, 1671]]
['陸世儀', [1611, 1672]]
['巢鳴盛', [1611, 1680]]
['錢澄之', [1612, 1693]]
['周亮工', [1612, 1672]]
['揭暄', [1613, 1695]]
['顧炎武', [1613, 1682]]
['宋琬', [1614, 1674]]
['彭孫貽', [1615, 1673]]
['柴紹炳', [1616, 1670]]
['龔鼎孳', [1616, 1673]]
['劉體仁', [1617, 1676]]
['徐崧', [1617, 1690]]
['侯方域', [1618, 1655]]
['王夫之', [1619, 1692]]
['董說', [1620, 1686]]
['谷應泰', [1620, 1690]]
['馬驌', [1621, 1673]]
['曹本榮', [1621, 1665]]
['徐枋', [1622, 1694]]
['計六奇', [1622, 1687]]
['徐倬', [1623, 1712]]
['王驥德', [1623]]
['魏禧', [1624, 1681]]
['汪琬', [1624, 1691]]
['吳肅公', [1626, 1699]]
['湯斌', [1627, 1687]]
['葉燮', [1627, 1703]]
['姜宸英', [1628, 1699]]
['吳任臣', [1628, 1689]]
['王錫闡', [1628, 1682]]
['葉奕苞', [1629, 1686]]
['黃虞稷', [1629, 1691]]
['葉方藹', [1629, 1682]]
['唐甄', [1630, 1704]]
